member_id,loan ,loan_amount,funded_amnt,funded_amnt_inv,term,batch_enrolled,int_rate,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,pymnt_plan,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,collections_12_mths_ex_med,mths_since_last_major_derog,application_type,verification_status_joint,last_week_pay,acc_now_delinq,tot_coll_amt,tot_cur_bal,total_rev_hi_lim,loan_status
130904,3775,377500,3775,925,36 months,BAT3474907,7.43,A,A2,SRA Benefits,7 years,MORTGAGE,120000,Not Verified,n,"Purpose of loan: I will use the money from this loan to re-invest in Prosper. 100% of the money will be lent to others on Prosper. I have been a lender for 7 months, and see it as a good way to diversify my investments.  Also, I want to analyze Lending Club from a borrower's standpoint.  My financial situation: My expenses are extremely low compared to my income. I have a significant amount of money in liquid investment (checking, savings, funds) which would allow me to pay off this loan at any time if needed.  Monthly net income: $ 10,000+  Monthly expenses: $   Housing: $ 750   Insurance: $ 150   Car expenses: $ 575   Utilities: $ 200   Phone, cable, internet: $ 200   Food, entertainment: $ 600   Clothing, household expenses $ 150   Credit cards and other loans: $ 140   Other expenses: $ 200",other,Re-Lending to others,641xx,MO,0,0,1,64,0,10,0,0,0,22,f,416.14,0,0,0,0,,INDIVIDUAL,,148th week,0,,,,1
130983,2100,210000,2100,1825,36 months,BAT3474907,7.12,A,A1,,< 1 year,RENT,110000,Not Verified,n,Looking to consolidate higher interest rate debt,debt_consolidation,Debt consolidation,024xx,MA,0.22,0,0,0,0,4,0,50,0.3,6,f,238.11,0,0,0,0,,INDIVIDUAL,,157th week,0,,,,1
131769,7725,772500,7725,1025,36 months,BAT3474907,13.75,E,E2,Paul Scherer & Company LLP,< 1 year,RENT,62200,Not Verified,n,"I currently have 7 credit card accounts totalling approximately $10,000 in debt. I feel as though it is an unending cycle and trying to make 7 separate payments every month is a big hassle. I am trying to reduce the clutter and start living without debt.",debt_consolidation,Debt Consolidation,100xx,NY,9.8,0,3,0,0,8,0,12231,81,13,f,1601.56,0,150.1,1.6,0,,INDIVIDUAL,,113th week,0,,,,0
132479,4200,420000,4200,1025,36 months, ,13.12,D,D5,Home Depot,1 year,RENT,10000,Not Verified,n,I am a student and i just actually bought a nissan sentra 99 for 1600 but its giving me more problems than i had expected. I put new struts in for 275 and now i need more parts that will equal to about 600.  I would love to keep this car but im starting to think that its not worth the money im putting in to it.  I want to get this loan so i can buy a better car and possibly give this Sentra to my mother so she has better transportation.  Ive been thinking of fixing the sentra and getting another car that will be suitable for me for the remaining years i have in college and hopefully more after when i start my career as a teacher. Thanks for the consideration.,car,Car Loan,112xx,NY,10.68,0,6,0,0,4,0,2942,58.8,4,f,902.3,0,0,0,0,,INDIVIDUAL,,157th week,0,,,,1
134417,2525,252500,2525,1000,36 months,BAT3474907,13.12,D,D5,NeboNet,< 1 year,MORTGAGE,40000,Not Verified,n,"Got your attention, didn't I?!?  Cliff notes version:  I need to landscape my yard, pour concrete, and add a large storage building.  I can afford monthly payments but don't have the capital needed to pay the lump sums for the work.  The idea of private individuals as opposed to large financial institutions profiting appeals to me.  It obviously does to you too.  Thanks for your consideration!",home_improvement,Pick me!  Pick me!  Pick me!,846xx,UT,20.67,1,3,23,0,13,0,17641,30.5,24,f,542.25,0,0,0,0,,INDIVIDUAL,,157th week,0,,,,1
134920,23400,2340000,23400,15550,36 months,BAT3275209,18.29,G,G4,Stordok Document Destruction/Moreno Roofing Co.,10+ years,MORTGAGE,75000,Not Verified,n,"Own two companies:  32 year old roofing company and 6 year old document shredding/storage company.  Roofing work is seasonal.  Raining a lot in California right now however, jobs completed slow.  Can't do much in inclement weather.  Expect a nice job turnout from this wet winter.  Should keep us busy through Spring/Summer, when work flow gets super busy.  Need temporary cash flow supplement to get through next few months.  Shredding/Storage company is picking up with tax season.  This company is in it's infancy.  Doesn't generate as much cash flow as roofing company however, has had a solid net profit.  Expect 25% growth each year.  Have many established route customers.  Expect to pay this loan off by the end of the year.  Thanks for your interest.",credit_card,Temporary small business loan,950xx,CA,8.54,0,2,41,0,5,0,0,0,28,f,7164.77,0,0,0,0,,INDIVIDUAL,,157th week,0,,,,1
137095,6000,600000,6000,167.43,36 months,BAT578944,8.32,A,A4,Self-employed,< 1 year,RENT,40000,Not Verified,n,"Hi, I have a couple of credit cards I need to bring into one place and pay off. Hopefully at a lower rate.",debt_consolidation,Credit Card Consolidation,752xx,TX,2.82,0,0,,,8,0,4712,25.3,11,f,800.48,0,0,0,0,,INDIVIDUAL,,156th week,0,,,,1
137988,3000,300000,3000,2225,36 months,BAT4160421,13.75,E,E2,Arapahoe Rental,3 years,RENT,40000,Not Verified,n,I would like to consolidate two credit cards into one monthly payment.. I'm in the process of deleting my debt and have planned on removing the debt in two years.,debt_consolidation,Consolidating two credit cards. NO DQs,805xx,CO,16.71,0,28,0,0,10,0,9135,76.8,24,f,677.57,0,0,0,0,,INDIVIDUAL,,157th week,0,,,,1
139245,1200,120000,1200,300.99,36 months,BAT3474907,9.96,B,B5,The PrivateBank,1 year,OWN,32000,Not Verified,n,purpose to to pay off all credit cards,credit_card,Personal Loan DQ,662xx,KS,1.13,0,2,54,0,2,0,613,76.6,7,f,192.85,0,0,0,0,,INDIVIDUAL,,161th week,0,,,,1
139881,4800,480000,4800,1625,36 months, ,11.54,C,C5,Bruno's Supermarkets,< 1 year,RENT,25000,Not Verified,n,"My wife and I are expecting in January and would like to consolidate our credit card debt into a more manageable payment with a lower interest rate.  Currently we have 2 cards with a 24.99% rate, and figuring the minimum payments on these cards, they will be paid off in 16 years!!!  So a 3 year turn-around is a much better deal, especially considering the savings on interest. All the money that we save by consolidating will be put towards our baby's future education.  Thank you.",debt_consolidation,Having a Baby and consolidating Debt,354xx,AL,18.19,1,0,9,0,5,0,409,81.8,17,f,900.84,0,0,0,0,,INDIVIDUAL,,161th week,0,,,,1
141693,10475,1047500,10475,7075,36 months,BAT3474907,14.38,E,E4,Merril,2 years,RENT,75000,Not Verified,n,Looking for a loan to pay off 2 high interest rate credit cards.,debt_consolidation,Looking For Loan To Pay Off Credit Card,100xx,NY,13.07,0,1,30,0,13,0,22764,39.7,23,f,2391.66,0,0,0,0,,INDIVIDUAL,,135th week,0,,,,1
141991,1200,120000,1200,1200,36 months,BAT3275209,14.82,E,E3,Capital Noveltees,< 1 year,OWN,6000,Not Verified,n,"Need some money for college. Need to pay of a small credit card debt, and to buy books",educational,College Fund,168xx,PA,3,1,1,6,0,1,0,932,66.6,3,f,292.81,0,0,0,0,,INDIVIDUAL,,161th week,0,,,,1
143520,10000,1000000,10000,3856.24,36 months,BAT4939736,9.64,B,B4,SSG Real Estate,5 years,MORTGAGE,22000,Not Verified,n,I trying to improve my property with a new kitchen and bathroom,home_improvement,fixing my house,061xx,CT,18.55,0,2,0,0,3,0,63,4.2,3,f,1554.48,0,0,0,0,,INDIVIDUAL,,157th week,0,,,,1
144623,25000,2500000,25000,3724.990259,36 months,BAT4939736,12.8,D,D4,"MGTS, Inc",2 years,MORTGAGE,75000,Not Verified,n,This loan would be used to pay down credit card debt incurred over the last two years from starting and expanding our retail business.,debt_consolidation,Loan to consolidate credit card debt,341xx,FL,24.85,0,3,0,0,14,0,62739,74.7,33,f,2583.15,0,10.15,3.91,0,,INDIVIDUAL,,48th week,0,,,,0
148889,3975,397500,3975,2125.99,36 months, ,14.07,E,E3,Data Connect Corp,3 years,RENT,46000,Not Verified,n,"My goal is to pay off a high interest loan and pay off my credit cards and just have one payment to make with this loan.   I normally get a very good bonus at my job which I was going to use so that I would not have to carry a balance on my credit cards, however it has been delayed and I will probably not receive until January.  I have worked very hard this year to open new tradelines and rebuild my credit, with every intention of not carrying a balance over 60 days and paying these off with my bonus.  I will definately not be late paying any payments, as I am watching my score go up and intend to keep it that way.",debt_consolidation,Raising score and consolidating debt,801xx,CO,13.51,0,8,44,0,8,0,4033,53.1,12,f,919.84,0,0,0,0,,INDIVIDUAL,,157th week,0,,,,1
150271,4800,480000,4800,1399.79,36 months,BAT4939736,12.8,D,D4,,< 1 year,RENT,62500,Not Verified,n,I'm trying to pay off credit cards with high interest rates and save for my wedding.,debt_consolidation,Jen,021xx,MA,12.61,3,0,11,0,15,0,9212,56.9,18,f,1002.99,0,0,0,0,,INDIVIDUAL,,157th week,0,,,,1
151831,5000,500000,5000,1767.09,36 months,BAT4939736,13.43,E,E1,Ray Catena of Union LLC,3 years,MORTGAGE,98000,Not Verified,n,Refinancing high interest debt,credit_card,Refinancing Debt,103xx,NY,12.53,0,1,63,31,7,3,9568,97.1,12,f,1100.6,0,0,0,0,,INDIVIDUAL,,157th week,0,,,,1
152064,5000,500000,5000,1405.12,36 months, ,12.8,D,D4,Citigroup Inc.,< 1 year,MORTGAGE,1.00E+05,Not Verified,n,"I already have a decent sized business going (I sold $400,000 worth of DVD's last year), but am always looking for more financing as the more money I have to purchase inventory with the more I can make in any given year.  I have been selling for over 2 years at this point (my eBay name is AuroraLove5, and my Amazon which I just started is bkp3725).  I have never been late on a single payment, and aside from having a steady home based business I now work at Citigroup in NY making a good chunk of change there too in case DVD's slow down.    My credit card debt level fluctuates DRAMATICALLY from month to month (I only buy when things are on sale, and I pay everything off as soon as they sell - always within 3 months), which makes conventional financing hard, which is why this seems to be the best solution for me.    If you have any questions please feel free to email me at RogerFarney@Hotmail.com.  Thank you for your consideration.  Roger Farney",small_business,Business Loan,142xx,NY,9.98,0,10,0,0,23,0,40238,63.2,44,f,1045.69,0,0,0,0,,INDIVIDUAL,,157th week,0,,,,1
163526,6500,650000,6500,1287.58,36 months,BAT4160421,7.75,A,A3,Barnhill Cintracting Company,10+ years,OWN,48000,Not Verified,n,credit card debt consolidation,debt_consolidation,Personal Loan,279xx,NC,13.53,0,3,0,0,24,0,10742,8.9,43,f,805.73,0,0,0,0,,INDIVIDUAL,,157th week,0,,,,1
163835,500,50000,500,400,36 months,BAT4939736,8.07,A,A4,,< 1 year,RENT,18000,Not Verified,n,"I currently live with my parents, study, and work part-time. The money will be used as additional funding to purchase a new computer .",other,buying a new computer,112xx,NY,4.27,0,0,0,0,4,0,0,0,4,f,64.89,0,0,0,0,,INDIVIDUAL,,161th week,0,,,,1
164864,16000,1600000,16000,619.3880659,36 months,BAT4160421,11.86,D,D1,Hunter Technical,< 1 year,OWN,86400,Not Verified,n,"Greetings Potential Lenders,  My wife and I have come across a great opportunity.  A women's clothing boutique is being sold close to where we live.  This is a great location as it is across the street from a middle school and sandwiched between a brand new neighborhood and a developing neighborhood.  It is being sold because the seller has 2 other businesses and is unable to grow & manage this boutique to achieve profitability quicker.  Though there will be seller financing, a down payment is expected and we will need some extra money to act as a buffer for intangibles.  The Good: We tend to quickly increase profitability by lowering some of the overhead costs.  We intend to sell retail as well as act as a broker for those looking to make high end specialty purchases.  We will develop the website so that it will serve as a social networking site that will allow us to take input from shoppers who are looking for unique fashions.  Items will be sold on the site, and overstock items will be directed to overseas markets.  We intend to keep inventories fairly low.  My income is sufficient to cover extra problems that may arise.  My wife is not working and will manage & grow the business full time.  The Bad: This is retail and it may not be profitable for at least 6 months (thats not your problem though....).  The customer base is undeveloped and we will need to do a significant amount of marketing to build it.  This should not be too big a problem though as my wife is a recent MBA grad.  The Ugly: I'm in grad school and my loans will come calling by the end of summer in 08.  Since my last personal loan I have not defaulted or been late with any payments, but I have gotten more credit cards and have increased my available balances on all of them very recently; this may be a why it has gone down.  Also, I've gone from W2 employee to 1099 contractor (no taxes hoooray!), the uncertainty of self employment may have altered the grade as well.   About Me: I am a DBA working in the Atlanta Metro area.  I am also an investor in a few other things as well such as ATMs and P2P lending.    Approximate Personal Cash Flow Statement: earned income:     7000 atm:                    700 ----------------7700  mortgage:          1300 power:               200 water:                100 cell:                   100 phone:                30 cable/inet:          100 car:                    450 insurance:           200 paymefirst:          700 prosper:              250 ----------------3430  Ask questions as you see fit.  Capitalists, Investors, Angels, Objectivists, Lenders.....BID WITH CONFIDENCE!!!!!   ",major_purchase,Womens Boutique,301xx,GA,15.1,0,0,46,0,11,0,348,4.8,25,f,1865,0,471.65,4.71,0,,INDIVIDUAL,,61th week,0,,,,0
165207,1800,180000,1800,674.9974495,36 months,BAT4939736,12.17,D,D2,Reiss Ltd.,1 year,RENT,42000,Not Verified,n,I need a $1500 loan to consolidate my bills to make affordable payments. I want a 7 month repayment plan.,debt_consolidation,Loan for debt consolidation,100xx,NY,1.71,0,2,46,0,3,0,0,0,9,f,296.66,0,36.02,0.42,0,,INDIVIDUAL,,100th week,0,,,,0
166498,3000,300000,3000,250,36 months,,7.43,A,A2,Outreach and Specail Needs,10+ years,RENT,72000,Not Verified,n,i NEED TO MOVE,major_purchase,Personal Loan,212xx,MD,11.18,0,5,0,0,8,0,12430,29.6,14,f,135.5,0,0,0,0,,INDIVIDUAL,,39th week,0,,,,1
171100,15000,1500000,7000,350,36 months, ,9.64,B,B4,northern regoinal center for independant living,< 1 year,MORTGAGE,19500,Not Verified,n,purchase of knew truck,major_purchase,truck,136xx,NY,21.23,0,0,0,0,11,0,16324,48,25,f,930.77,0,0,0,0,,INDIVIDUAL,,100th week,0,,,,1
174945,10000,1000000,10000,625,36 months,BAT4160421,12.8,D,D4,stoughton trucking,2 years,RENT,58800,Not Verified,n,"we have gotten into debt and are looking at  paying it off at a lower interest rate, we are  able to pay off the debt. some of the cards  are lower rates and some are store cards which are higher, we've gotten rid of all of them and would like a better over all rate.",debt_consolidation,pay back,535xx,WI,7.51,0,3,59,47,6,2,7251,80.6,15,f,2059.05,0,0,0,0,,INDIVIDUAL,,139th week,0,,,,1
176141,8000,800000,8000,2474.99488,36 months,BAT4160421,16.28,F,F5,Total Wellness Center,< 1 year,RENT,26400,Not Verified,n,a loan to consolidate credit card debt,debt_consolidation,personal loan,800xx,CO,25,0,3,0,0,8,0,8768,71.9,13,f,1997.84,0,0,0,0,,INDIVIDUAL,,109th week,0,,,,0
180337,3500,350000,3500,665.32,36 months,BAT4160421,10.28,C,C1,Natherson &amp; Company,1 year,MORTGAGE,48000,Not Verified,n,I am an employed public accountant and need to borrow to be able to sit for the CPA exam and the expensive review course.,other,CPA Exam & Review,336xx,FL,17.65,0,2,43,0,16,0,3761,55.4,27,f,582.2,0,0,0,0,,INDIVIDUAL,,157th week,0,,,,1
183619,10000,1000000,10000,899.9942558,36 months,BAT4160421,9.33,B,B3,Panera LLC,1 year,MORTGAGE,36500,Not Verified,n,"I bought this house when we learned my daughter had kidney failire when she was pregnant. She ate a hamburger at a cookout and got Ecoli. Then it ate the heart valves and she had open heart surgery. 6 days later a heart attack. She battled for 5years, she passed away Oct 8, with no insurance. I need to pay for funeral expenses and move from our home. Of course she loss her baby and I took care of her. She was only 32 and suffered so much in her young life. I want to move , too many memories and I don't want to live alone. I plan to sell the house...but in this market it may take a while. Thank you for any help you can provide.",moving,Pam Spittler,323xx,FL,19.46,0,2,69,0,12,0,827,6.6,22,f,504.18,0,373.05,3.74,0,,INDIVIDUAL,,30th week,0,,,,0
184693,9000,900000,9000,749.998581,36 months,BAT4160421,12.49,D,D3,AXA-Equitable,3 years,RENT,60000,Not Verified,n,"The purpose of this loan would be to make my life somewhat easier. I have three seperate credit cards with high interest rates that I would like to consolidate to one monthly payment, with lower interest.",debt_consolidation,Consolidate Debt,070xx,NJ,4.64,2,0,3,0,10,0,8355,34.4,12,f,1803.72,0,3955.3,1384.33,0,,INDIVIDUAL,,126th week,0,,,,0
189776,12000,1200000,12000,500,36 months,BAT4726815,9.96,B,B5,GGR,10+ years,MORTGAGE,1.00E+05,Not Verified,n,This loan request is to consolidate credit cards and eliminate unsecured debt.,debt_consolidation,Eliminate unsecured debt,774xx,TX,8.17,0,2,0,0,14,0,25413,45.2,26,f,1864.94,0,0,0,0,,INDIVIDUAL,,130th week,0,,,,1
192030,24000,2400000,24000,902.58,36 months,,13.12,D,D5,"R. J. Simmons , CPA",3 years,MORTGAGE,60000,Not Verified,n,CPA requesting loan to assist in funding purchase of accounting firm to add to my current CPA firm.  Firm being purchased has annual revenue of approximately $95K and has been in business since 1998.,small_business,RJS Business Loan,750xx,TX,25.08,0,0,0,0,15,0,53461,50.8,25,f,5161.38,40.49400037,0,0,0,,INDIVIDUAL,,161th week,0,,,,1
193651,18000,1800000,18000,814.61,36 months,BAT4726815,9.33,B,B3,Self Employed,10+ years,OWN,102000,Not Verified,n,To consolidate high rate credit cards.,debt_consolidation,Angela Kay Myrick,756xx,TX,16.95,0,2,0,0,30,0,10463,8.2,63,f,2705.42,0,0,0,0,,INDIVIDUAL,,157th week,0,,,,1
196018,3000,300000,3000,672.97,36 months, ,9.01,B,B2,Self,10+ years,RENT,10000,Not Verified,n,I would like to pay off my credit card debt and pay a lower interest rate.,debt_consolidation,Credit Card Debt,980xx,WA,6.72,1,3,20,0,2,0,2808,51.1,7,f,432.57,0,0,0,0,,INDIVIDUAL,,152th week,0,,,,1
197210,18500,1850000,18500,3300,36 months,BAT4726815,17.22,G,G3,L.A. County Dept. of Public Works,5 years,RENT,38000,Not Verified,n,just want to consolidate all my loans and credit cards to one payment,debt_consolidation,1 payment,900xx,CA,9.76,0,0,81,0,15,0,8731,38.1,22,f,2982.75,0,0,0,0,,INDIVIDUAL,,57th week,0,,,,1
197938,7850,785000,7850,333.6,36 months,BAT4726815,9.96,B,B5,Colwell Chiropractic,3 years,RENT,26000,Not Verified,n,"I would like to consolidate 3 debts as well as improve my credit scores by having a good standing installment account over at least a 2 year period.  The debt will pay off a $1700 Credit Card, a $650 Military Overpayment Debt, and a $3250 Personal Loan from a friend.  This loan will help improve my quality of life greatly.  Thank you.",debt_consolidation,Jared's Debt Consolidation,975xx,OR,6.14,0,1,63,0,5,0,991,34.2,17,f,1257.11,59.97563151,0,0,0,,INDIVIDUAL,,148th week,0,,,,1
199865,2000,200000,2000,300,36 months,,13.3,D,D4,Crowne Plaza,2 years,RENT,18000,Not Verified,n,I am consolidating my credit card debt as well as paying off my cell phone bill.,debt_consolidation,cell phone,782xx,TX,22,1,3,9,0,11,0,1042,37.2,16,f,390.43,0,0,0,0,,INDIVIDUAL,,135th week,0,,,,1
200788,5000,500000,5000,1199.999616,36 months,BAT4726815,13.93,E,E1,First Federal Bank of California,2 years,RENT,38000,Not Verified,n,I currently have a real estate investment business that I want to begin to market very aggressively. My business is beginning to expand and I am looking to advertise and market my business in other regions.,small_business,jump starting advertising and marketing!,900xx,CA,20.72,1,1,11,0,13,0,16613,18.3,21,f,519.21,0,172.96,1.77,0,,INDIVIDUAL,,44th week,0,,,,0
210644,500,50000,500,475,36 months,,11.41,C,C3,Global Travel International -and- Global Domains International,< 1 year,RENT,19500,Not Verified,n,"Heart contentions, to leviate one credit card, school and only 1 payment before receiving diploma - and further schooling.  And to get away from the up-down usage I've done to my bank accounts with maintainence fee's. ",other,A's2Zee's,222xx,VA,3.69,0,0,0,57,8,1,12229,90.6,15,f,67.46,14.94535519,0,0,0,,INDIVIDUAL,,78th week,0,,,,1
215591,10000,1000000,10000,800,36 months, ,9.51,B,B2,IC Mechanical,< 1 year,RENT,55000,Not Verified,n,"10,000 to pay off credit cards",debt_consolidation,Debt,336xx,FL,7.59,0,1,0,0,13,0,8382,20.4,20,f,1242.16,0,0,0,0,,INDIVIDUAL,,91th week,0,,,,1
220027,22000,2200000,22000,575,36 months, ,12.67,D,D2,"Eastern Vinyl & Liner, Inc.",9 years,MORTGAGE,90000,Not Verified,n,"The credit cards are getting to us.  We had a lull in income with my personl business and had to use them for some expenses.  We are in a better place now but the payments are incredible.  We both work fulltime.  Have three sons, one in college and one headed ther in 2 years.  We really want a lower rate making it easier to pay this debt off.  We would love to close these two credit card accounts!",credit_card,Credit Cards,240xx,VA,13.04,1,0,8,0,14,0,22738,30.8,37,f,2251.71,0,0,0,0,,INDIVIDUAL,,52th week,0,,,,1
220429,15000,1500000,15000,4575,36 months,BAT3275209,6,C,C4,Aerodyn Wind Tunnel,5 years,MORTGAGE,62500,Not Verified,n,Payoff credit card at a lower rate.,debt_consolidation,Pay credit card off,281xx,NC,15.28,0,3,0,0,17,0,26044,34.5,41,f,2144.02,0,0,0,0,,INDIVIDUAL,,157th week,0,,,,1
221224,15000,1500000,15000,450,36 months,BAT4726815,12.04,C,C5,pace mechanica services,7 years,MORTGAGE,1.00E+05,Not Verified,n,My wife and I have two credit cards that we would like to pay off.,debt_consolidation,Credit Card Consolidation,480xx,MI,15.82,2,1,2,0,12,0,49459,88.8,45,f,2827.42,49.85756167,0,0,0,,INDIVIDUAL,,248th week,0,,,,1
226351,11200,1120000,11200,1257.499446,36 months,,10.78,C,C1,"Stonebrook Studio, Inc. own business",10+ years,MORTGAGE,80000,Not Verified,n,I am a self employed Architect( see jamesscottfleming.com) in business for 14 years. I have a wide variety of projects currently and have just picked up a restaurant client for multiple project locations. I am seeking some additional funds for both some consolidation of some higher interest debt as well as back up funds to assist with up front expenses on new projects.  Thank you   James Scott Fleming. AIA,small_business,lending club loan 1,921xx,CA,7.56,1,1,18,0,4,0,18316,81,14,f,1349.7,54.8007511,0,0,0,,INDIVIDUAL,,74th week,0,,,,0
